App Name,Folder Name,iTunes URL,%groups_start%,Room 1,Room 2,Room 3,Room 4,Room 5,Room 6,NULL,NULL,%groups_end%,Quantity Available,Total Required,Remaining,To Purchase,Price 1-19,Price 20+,Total Price,Current Hash,Previous Hash,Cyclone To Do
-- Active Apps --,,,,,,,,,,,,,,,,,,,,,,TRUE
Book Creator for iPad,,https://itunes.apple.com/nz/app/book-creator-for-ipad/id442378070?mt=8,,Yes,,Yes,,,,,,,112,41,71,0,$8.99 ,$4.49 ,$0.00 ,0601373a29632afaf17c11e0e1d0fc57,c23f3d0aca7d5474a6ca33cc95414775,TRUE
YouTube: Watch Listen Stream,,https://itunes.apple.com/nz/app/youtube-watch-listen-stream/id544007664?mt=8,,No,Yes,,,,,,,,605,50,555,0,$0.00 ,$0.00 ,$0.00 ,b410f0d1c3c9a69dd5cbebb7a6871fa4,c23f3d0aca7d5474a6ca33cc95414927,TRUE
-- Wishlist --,,,,,,,,,,,,,,,,,,,,,,TRUE
GarageBand,,https://itunes.apple.com/nz/app/garageband/id408709785?mt=8,,Yes,Yes,Yes,Yes,No,No,No,No,,438,101,337,0,$0.00 ,$0.00 ,$0.00 ,3d1c02f5e3b537c348dc814c9137af27,c23f3d0aca7d5474a6ca33cc95414801,TRUE
Google Chrome,,https://itunes.apple.com/nz/app/google-chrome/id535886823?mt=8,,No,No,No,No,No,No,No,No,,695,0,695,0,$0.00 ,$0.00 ,$0.00 ,10a6e85770db16e4e9b256e9ea7bcef2,c23f3d0aca7d5474a6ca33cc95414804,TRUE
Google Docs,,https://itunes.apple.com/nz/app/google-docs/id842842640?mt=8,,No,Yes,No,Yes,No,No,No,No,,594,60,534,0,$0.00 ,$0.00 ,$0.00 ,f0c1af0fd8817611eb717a20cb37108e,c23f3d0aca7d5474a6ca33cc95414806,TRUE
Google Drive â€“ secure online file storage,,https://itunes.apple.com/nz/app/google-drive-secure-online-file-storage/id507874739?mt=8,,Yes,Yes,Yes,Yes,No,No,No,No,,456,101,355,0,$0.00 ,$0.00 ,$0.00 ,bda92823c457e71d704cb410e2b66735,c23f3d0aca7d5474a6ca33cc95414807,TRUE
Google Earth,,https://itunes.apple.com/nz/app/google-earth/id293622097?mt=8,,No,Yes,No,No,No,No,No,No,,595,50,545,0,$0.00 ,$0.00 ,$0.00 ,f5ccbbb40cc1a4362876cf81751df5af,c23f3d0aca7d5474a6ca33cc95414808,TRUE
Google Sheets,,https://itunes.apple.com/nz/app/google-sheets/id842849113?mt=8,,No,Yes,No,Yes,No,No,No,No,,595,60,535,0,$0.00 ,$0.00 ,$0.00 ,af283de3f01ee97a1f1eaf173cd8546a,c23f3d0aca7d5474a6ca33cc95414809,TRUE
Google Slides,,https://itunes.apple.com/nz/app/google-slides/id879478102?mt=8,,No,Yes,No,Yes,No,No,No,No,,593,60,533,0,$0.00 ,$0.00 ,$0.00 ,49fd9bfc326226171042668dee57970e,c23f3d0aca7d5474a6ca33cc95414810,TRUE
iMovie,,https://itunes.apple.com/nz/app/imovie/id377298193?mt=8,,Yes,Yes,Yes,Yes,No,No,No,No,,494,101,393,0,$0.00 ,$0.00 ,$0.00 ,1d816273437db34c7d605a2989b3f9b4,c23f3d0aca7d5474a6ca33cc95414820,TRUE
Pages,,https://itunes.apple.com/nz/app/pages/id361309726?mt=8,,Yes,Yes,No,Yes,No,No,No,No,,595,88,507,0,$0.00 ,$0.00 ,$0.00 ,44f86741801373ac752384d0983d4948,c23f3d0aca7d5474a6ca33cc95414872,TRUE
QR Reader for iPad,,https://itunes.apple.com/nz/app/qr-reader-for-ipad/id426170776?mt=8,,Yes,Yes,Yes,Yes,No,No,No,No,,695,101,594,0,$0.00 ,$0.00 ,$0.00 ,5ada6038f3cd7a1e5fb5ed53604ef512,c23f3d0aca7d5474a6ca33cc95414879,TRUE
ScratchJr,,https://itunes.apple.com/nz/app/scratchjr/id895485086?mt=8,,Yes,Yes,Yes,Yes,No,No,No,No,,617,101,516,0,$0.00 ,$0.00 ,$0.00 ,4443e525aea2935265e062cfd8d0a549,c23f3d0aca7d5474a6ca33cc95414890,TRUE
Swift Playgrounds,,https://itunes.apple.com/nz/app/swift-playgrounds/id908519492?mt=8,,No,Yes,No,No,No,No,No,No,,544,50,494,0,$0.00 ,$0.00 ,$0.00 ,f25d2e33b43b7a9295b74beb948a0f9b,c23f3d0aca7d5474a6ca33cc95414903,TRUE